id,last_modified_timestamp,customer_id,item_id,amount,transaction_currency
1,2011/12/09 11:28,c1,INTNL123132,20.1,GBP
2,2011/12/10 11:28,c2,INTNL626256,53,xxx
3,2011/12/10 11:28,c2,13485185138,-4,xxx
4,2011/12/10 11:28,c2,43262762577,24.6,USD
5,2011/12/11 11:28,c3,51134513616,23.45,GBP
6,2011/12/11 11:28,c3,14514361346,64.33,GBP
7,2011/12/11 11:28,c2,71384751849,23.56,GBP
8,2011/12/11 11:28,c2,9801989453,34.345,USD
9,2011/12/11 11:28,c4,9143531003,46766,USD
10,2011/12/11 11:28,c4,14514361346,34.78,USD
